frame,Time [s],CH1,BGND1,CH2,BGND2,intensity
465,24.06,5933,5840,18150,18584,93
466,24.112,6425,5719,18329,18782,706
467,24.164,6084,5755,19462,18686,329
468,24.215,6126,5840,18884,18662,286
469,24.267,7282,5955,18398,18188,1327
470,24.319,7320,5804,18884,18326,1516
471,24.37,7547,5840,19621,18656,1707
472,24.422,7078,5900,19082,18620,1178
473,24.474,7015,5816,18700,18452,1199
474,24.526,6798,5888,18847,18470,910
475,24.577,8097,5858,18120,18764,2239
476,24.629,7525,5798,18408,18344,1727
477,24.681,7340,5834,18836,18476,1506
478,24.733,7200,5779,17513,18386,1421
479,24.784,6860,5798,18744,18758,1062
480,24.836,6807,5767,18558,18428,1040
481,24.888,7191,5773,18641,18272,1418
482,24.94,6736,5719,18533,18056,1017
483,24.991,7269,5882,20131,18626,1387
484,25.043,7090,6178,19961,18500,912
485,25.095,7587,5888,17921,18458,1699
486,25.147,6812,6027,20161,18584,785
487,25.198,6470,6021,18899,18356,449
488,25.25,7449,5955,19132,18512,1494
489,25.302,7359,6051,17568,18344,1308
490,25.354,7058,5979,19639,18872,1079
491,25.405,6980,5961,19825,18188,1019
492,25.457,6712,5894,18336,18824,818
493,25.509,7147,5973,18608,18464,1174
494,25.561,6696,6136,18394,18464,560
495,25.612,7001,5840,19365,18434,1161
496,25.664,7040,5991,19119,18404,1049
497,25.716,6364,6075,18755,18356,289
498,25.768,6993,5918,19863,18590,1075
499,25.819,6157,5846,18384,18380,311
500,25.871,6911,5822,18610,18188,1089
501,25.923,7478,5761,19550,18272,1717
502,25.974,7223,5822,19736,18416,1401
503,26.026,7250,5888,18006,18626,1362
504,26.078,7526,5991,18325,18500,1535
505,26.13,6617,5798,19381,18452,819
506,26.181,6631,5743,17542,18410,888
507,26.233,6752,6033,18719,18668,719
508,26.285,7488,5888,20294,18122,1600
509,26.337,7261,5695,18854,18296,1566
510,26.388,6910,5671,19508,18416,1239
511,26.44,8002,5834,19127,18494,2168
512,26.492,7111,5852,18245,18392,1259
513,26.544,7183,5725,19685,18524,1458
514,26.595,6392,5761,20349,18356,631
515,26.647,5994,5761,18968,18728,233
516,26.699,7577,5749,17921,18993,1828
517,26.751,7610,6093,18549,18704,1517
518,26.802,7116,5846,19125,18410,1270
519,26.854,7098,5834,18226,18434,1264
520,26.906,6739,5798,19185,18704,941
521,26.958,7050,5713,18625,18524,1337
522,27.009,6778,5804,19357,18338,974
523,27.061,6776,5640,19175,18698,1136
524,27.113,7797,5719,19987,18302,2078
525,27.165,7637,5779,18792,18374,1858
526,27.216,7551,6051,18178,18464,1500
527,27.268,8184,5791,18820,18602,2393
528,27.32,7154,5822,19971,18650,1332
529,27.372,7024,6069,18464,18542,955
530,27.423,6970,5864,19141,18542,1106
531,27.475,7659,5930,18953,18632,1729
532,27.527,7299,5942,19319,18626,1357
533,27.578,6946,5967,18496,18548,979
534,27.63,6459,5852,20321,18206,607
535,27.682,6627,5997,19090,18164,630
536,27.734,6137,5779,19223,18704,358
537,27.785,6371,5755,18219,18548,616
538,27.837,6685,5755,19974,18470,930
539,27.889,6877,5852,19006,18542,1025
540,27.941,6495,5640,18501,18644,855
541,27.992,6768,5659,17994,18620,1109
542,28.044,6821,5936,18391,18728,885
543,28.096,6441,5713,18472,18626,728
544,28.148,6782,5731,19722,18566,1051
545,28.199,6414,5761,19061,18692,653
546,28.251,6728,5628,17911,18704,1100
547,28.303,6950,5713,19165,18404,1237
548,28.355,6783,5785,18606,18524,998
549,28.406,6934,5713,19019,18350,1221
550,28.458,7171,5930,18606,18422,1241
551,28.51,6241,5713,19043,18188,528
552,28.562,7883,5731,19798,18296,2152
553,28.613,7783,5822,19764,18500,1961
554,28.665,7109,5755,19268,18428,1354
555,28.717,8632,5924,20179,18668,2708
556,28.769,8251,5906,19686,18470,2345
557,28.82,7152,5767,19351,18662,1385
558,28.872,7747,5677,18174,18482,2070
559,28.924,7599,5755,19005,18278,1844
560,28.976,5939,5743,19447,18656,196
561,29.027,5990,5791,18926,18296,199
562,29.079,5826,5743,18311,18560,83
563,29.131,6077,5665,19361,18764,412
564,29.182,7416,5791,19477,18374,1625
565,29.234,8110,5906,18824,18338,2204
566,29.286,7414,5719,18360,18710,1695
567,29.338,7416,5689,18530,18530,1727
568,29.389,7508,5828,18866,18512,1680
569,29.441,7322,5773,19515,18470,1549
570,29.493,7530,5701,19216,18626,1829
571,29.545,7218,5834,17909,19041,1384
572,29.596,7498,5755,19241,18608,1743
573,29.648,7593,5785,18796,18362,1808
574,29.7,6865,5701,19419,18830,1164
575,29.752,5594,5683,18558,18518,-89
576,29.803,5407,5592,19874,18500,-185
577,29.855,6334,5725,18824,18410,609
578,29.907,6373,5719,19038,18362,654
579,29.959,6124,5900,20075,18326,224
580,30.01,6697,5695,18348,18626,1002
581,30.062,6554,5695,19541,18500,859
582,30.114,6177,5791,18253,18434,386
583,30.166,6879,5852,18480,18500,1027
584,30.217,7740,5683,17362,18548,2057
585,30.269,7582,5979,18904,18698,1603
586,30.321,7088,5924,18918,18620,1164
587,30.373,7263,5725,18640,18716,1538
588,30.424,7456,5906,18342,18482,1550
589,30.476,7093,5719,19316,18164,1374
590,30.528,7815,5834,19685,18578,1981
591,30.58,7504,5749,19007,18686,1755
592,30.631,7290,5798,19544,18536,1492
593,30.683,7327,5767,18437,18620,1560
594,30.735,6569,5773,18618,18800,796
595,30.786,6698,5876,17936,18362,822
596,30.838,6395,5743,19470,18224,652
597,30.89,7339,5689,17788,18386,1650
598,30.942,5929,5743,19078,18650,186
599,30.993,5726,5791,18150,18542,-65
600,31.045,6394,5719,19468,18440,675
601,31.097,6168,5689,19078,18770,479
602,31.149,6044,5719,18515,18296,325
603,31.2,6075,5798,18262,18200,277
604,31.252,6209,5713,18601,18686,496
605,31.304,5798,5743,17514,18320,55
606,31.356,6604,5743,19477,18272,861
607,31.407,6377,5743,19487,18056,634
608,31.459,5798,5834,18375,18524,-36
609,31.511,5960,5713,17989,18710,247
610,31.563,5682,5713,20522,18794,-31
611,31.614,6762,5755,19290,18158,1007
612,31.666,6381,5870,18417,18794,511
613,31.718,7024,5719,18283,18470,1305
614,31.77,6283,5888,19208,18494,395
615,31.821,6458,5816,19613,18356,642
616,31.873,6501,5773,18179,18320,728
617,31.925,6351,5798,19593,18632,553
618,31.977,6074,5804,18598,18452,270
619,32.028,6796,5725,18671,18836,1071
620,32.08,6019,5773,18838,18230,246
621,32.132,6724,5773,19241,18644,951
622,32.184,5937,5888,18732,18728,49
623,32.235,6493,5846,18441,18482,647
624,32.287,6442,5755,17942,18248,687
625,32.339,6541,5785,18997,18248,756
626,32.39,6539,5900,18642,18572,639
627,32.442,7292,5834,19068,19077,1458
628,32.494,7922,5755,18161,18590,2167
629,32.546,6464,5828,18652,18548,636
630,32.597,7051,5991,19137,18987,1060
631,32.649,6083,5816,18867,18962,267
632,32.701,7143,5816,19108,18602,1327
633,32.753,7396,5876,18651,18824,1520
634,32.804,7040,5804,19072,18716,1236
635,32.856,6609,5713,17931,18794,896
636,32.908,7527,5689,19301,18482,1838
637,32.96,7704,5791,19098,18728,1913
638,33.011,8192,5677,19377,18470,2515
639,33.063,8042,5906,19598,18476,2136
640,33.115,7336,5870,18385,18518,1466
641,33.167,6507,5707,19355,18644,800
642,33.218,7439,5791,19177,18572,1648
643,33.27,7199,5967,18731,18500,1232
644,33.322,7419,5846,18497,18440,1573
645,33.374,7337,5942,19653,18530,1395
646,33.425,7786,5882,19199,18950,1904
647,33.477,7723,5900,18768,18644,1823
648,33.529,6768,5647,19947,18446,1121
649,33.581,6826,5882,17845,18560,944
650,33.632,8739,5822,19180,18656,2917
651,33.684,7009,5876,18607,18782,1133
652,33.736,7546,5870,19162,18404,1676
653,33.788,7482,5948,18781,18824,1534
654,33.839,7289,5785,19563,18806,1504
